base_port,complete,convergence_ms,coverage,data,fanout,gossip_wait,host,ihave_max_ids,mode,msg_id,overhead,peer_limit,peer_timeout,ping_interval,pow_k,pull_interval,reason,run_dir,seed_base,size,startup_wait,timestamp,topic,ttl
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,hybrid,e41f3b7e-af94-4f7b-ab9c-a193327324ff,76,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N10_seed100,100,10,8.0,1772019980839,news,18
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,hybrid,d966612a-a91b-41ac-a9fa-1706df8095cb,77,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N10_seed101,101,10,8.0,1772020003926,news,18
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,hybrid,cbc5f65c-fefc-4a9e-9a25-e5c83d7c89f9,71,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N10_seed102,102,10,8.0,1772020027015,news,18
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,hybrid,021afd75-d58b-4978-bddc-480e10e54b55,78,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N10_seed103,103,10,8.0,1772020050082,news,18
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,hybrid,a3f86f48-d46f-4f1d-ad6f-35d83fcbb8df,81,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N10_seed104,104,10,8.0,1772020073157,news,18
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,hybrid,12da74e0-be40-4287-b025-f48c1b61f8eb,247,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N20_seed100,100,20,8.0,1772020097329,news,18
9000,True,8,1.0,hello,15,14.0,127.0.0.1,32,hybrid,70e80247-9dc8-4c61-8bd6-43413bba51dc,280,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N20_seed101,101,20,8.0,1772020121533,news,18
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,hybrid,47c7b7e9-1a7e-461b-8dd7-20e3d2d79a30,270,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N20_seed102,102,20,8.0,1772020145732,news,18
9000,True,8,1.0,hello,15,14.0,127.0.0.1,32,hybrid,d9b9ede8-e235-428a-b190-555751029d93,274,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N20_seed103,103,20,8.0,1772020169902,news,18
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,hybrid,6ebb82dd-6c42-4d76-9bb8-92f2e3c203db,284,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N20_seed104,104,20,8.0,1772020194081,news,18
9000,True,13,1.0,hello,15,14.0,127.0.0.1,32,hybrid,ac7a5a24-0ca2-4919-a659-7484728d445d,691,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N50_seed100,100,50,8.0,1772020221710,news,18
9000,True,15,1.0,hello,15,14.0,127.0.0.1,32,hybrid,1aa21e6f-9280-41ff-b7b9-d95434b6f1bb,708,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N50_seed101,101,50,8.0,1772020249659,news,18
9000,True,16,1.0,hello,15,14.0,127.0.0.1,32,hybrid,9ee1a16d-265f-421f-a143-efbb3dbc190d,709,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N50_seed102,102,50,8.0,1772020277248,news,18
9000,True,17,1.0,hello,15,14.0,127.0.0.1,32,hybrid,87eabe45-2b57-457a-a34f-0802a24c54ee,715,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N50_seed103,103,50,8.0,1772020304879,news,18
9000,True,21,1.0,hello,15,14.0,127.0.0.1,32,hybrid,25b99fc9-2c66-4518-a67e-9bdf4413b8ec,659,50,15.0,5.0,0,2.0,,scripts/out/20260225_150942/mode_hybrid/N50_seed104,104,50,8.0,1772020333043,news,18
9000,True,2,1.0,hello,15,14.0,127.0.0.1,32,push,fe2cff25-fdfa-4723-bf3c-2e75f561cd53,70,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N10_seed100,100,10,8.0,1772019605390,news,18
9000,True,6,1.0,hello,15,14.0,127.0.0.1,32,push,d13e9c5b-1607-441e-a216-2d508370bdaa,81,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N10_seed101,101,10,8.0,1772019628481,news,18
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,push,aab29895-ddba-4378-8099-2bb7e234a342,81,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N10_seed102,102,10,8.0,1772019651562,news,18
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,push,fdffe27c-933c-4b82-b5fd-152e6b9e00ed,73,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N10_seed103,103,10,8.0,1772019674658,news,18
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,push,4a39b409-9be1-4fcd-9748-7f6574e9326e,73,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N10_seed104,104,10,8.0,1772019697742,news,18
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,push,e8a81996-060f-4bbd-88c2-86f7156e94f9,300,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N20_seed100,100,20,8.0,1772019721947,news,18
9000,True,10,1.0,hello,15,14.0,127.0.0.1,32,push,8795160c-33c7-4a0e-8213-c6310ed9e252,284,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N20_seed101,101,20,8.0,1772019746153,news,18
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,push,5dd2b9cb-5c0b-4d2f-b5d1-8a0fbb69e480,293,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N20_seed102,102,20,8.0,1772019770377,news,18
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,push,246c65c3-b2d3-499c-9700-af3e5e467dce,256,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N20_seed103,103,20,8.0,1772019794579,news,18
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,push,69f367e1-0d47-46cf-af6f-587880201b94,276,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N20_seed104,104,20,8.0,1772019818771,news,18
9000,True,18,1.0,hello,15,14.0,127.0.0.1,32,push,72808e91-6de3-44ce-a4d6-25d2af07a9d4,750,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N50_seed100,100,50,8.0,1772019846510,news,18
9000,True,19,1.0,hello,15,14.0,127.0.0.1,32,push,1fda6ec5-c008-4fc2-8c14-26c21d9124ce,750,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N50_seed101,101,50,8.0,1772019874117,news,18
9000,True,16,1.0,hello,15,14.0,127.0.0.1,32,push,13d99ebe-29dd-4aab-aba2-5f0a49683a3a,720,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N50_seed102,102,50,8.0,1772019901864,news,18
9000,True,19,1.0,hello,15,14.0,127.0.0.1,32,push,a5cc2c26-d57c-4bf5-81ce-6699586bf94b,696,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N50_seed103,103,50,8.0,1772019929776,news,18
9000,True,14,1.0,hello,15,14.0,127.0.0.1,32,push,a8c34814-b724-485e-8ada-c0392ba9978e,695,50,15.0,5.0,0,0.0,,scripts/out/20260225_150942/mode_push/N50_seed104,104,50,8.0,1772019957746,news,18
