mode,size,runs,convergence_mean,convergence_std,overhead_mean,overhead_std,coverage_mean
hybrid,10,5,4.4,0.4898979485566356,76.6,3.2619012860600183,1.0
hybrid,20,5,8.6,0.4898979485566356,271,12.93058390019569,1.0
hybrid,50,5,16.4,2.6532998322843198,696.4,20.333224043422135,1.0
push,10,5,4.2,1.3266499161421599,75.6,4.5431266766402185,1.0
push,20,5,8.2,2.1354156504062622,281.8,15.236797563792727,1.0
push,50,5,17.2,1.9390719429665315,722.2,24.4,1.0
