mode,size,runs,convergence_mean,convergence_std,overhead_mean,overhead_std,coverage_mean
hybrid,10,5,5,1.8973665961010275,73.6,6.8,1.0
hybrid,20,5,8,1.6733200530681511,285.8,24.210741417808748,1.0
hybrid,50,5,16.2,0.7483314773547883,745.4,17.681628884240276,1.0
push,10,5,3.8,1.1661903789690602,66.4,6.086049621881176,1.0
push,20,5,8.2,1.1661903789690602,263.8,24.219000805152966,1.0
push,50,5,14.4,3.1368774282716245,722.2,15.72768260107,1.0
