base_port,complete,convergence_ms,coverage,data,fanout,gossip_wait,host,ihave_max_ids,mode,msg_id,overhead,peer_limit,peer_timeout,ping_interval,pow_k,pull_interval,reason,run_dir,seed_base,size,startup_wait,timestamp,topic,ttl
9000,True,2,1.0,hello,15,14.0,127.0.0.1,32,hybrid,e0f9be9e-b34b-4ccf-baf0-393b02946aad,63,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N10_seed100,100,10,8.0,1772115213087,news,12
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,hybrid,ab086946-a5b1-4d23-b242-22a59ffb40d6,71,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N10_seed101,101,10,8.0,1772115236169,news,12
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,hybrid,34bf8fd6-bb18-4e6f-a3f4-1b391031f4fd,72,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N10_seed102,102,10,8.0,1772115259258,news,12
9000,True,8,1.0,hello,15,14.0,127.0.0.1,32,hybrid,b6e5839f-de6d-457c-95b5-94de98174b11,81,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N10_seed103,103,10,8.0,1772115282353,news,12
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,hybrid,fc9f7266-aff6-4762-86b7-b7beba040da1,81,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N10_seed104,104,10,8.0,1772115305453,news,12
9000,True,8,1.0,hello,15,14.0,127.0.0.1,32,hybrid,a38d23e5-9512-4b2d-bba8-84f6c6b782d8,297,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N20_seed100,100,20,8.0,1772115329722,news,12
9000,True,7,1.0,hello,15,14.0,127.0.0.1,32,hybrid,0b14647b-093a-44bf-897c-c50a7ea44265,271,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N20_seed101,101,20,8.0,1772115353987,news,12
9000,True,6,1.0,hello,15,14.0,127.0.0.1,32,hybrid,39ef71fc-3c87-4ba7-9e38-4c8d7ae23814,261,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N20_seed102,102,20,8.0,1772115378238,news,12
9000,True,8,1.0,hello,15,14.0,127.0.0.1,32,hybrid,27618819-c64e-4fd0-b319-610f7433231c,272,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N20_seed103,103,20,8.0,1772115402506,news,12
9000,True,11,1.0,hello,15,14.0,127.0.0.1,32,hybrid,0c3e7b72-8c6a-4081-a298-bccfef264a61,328,50,15.0,5.0,0,2.0,,scripts/out/20260226_173654/mode_hybrid/N20_seed104,104,20,8.0,1772115426785,news,12
