mode,size,runs,convergence_mean,convergence_std,overhead_mean,overhead_std,coverage_mean
hybrid,10,5,4.2,0.4,70.2,6.11228271597445,1.0
hybrid,20,5,7.8,1.6,284.8,12.351518125315609,1.0
hybrid,50,5,16.6,2.4166091947189146,731.8,23.532105728132365,1.0
push,10,5,4.2,1.9390719429665315,80.4,1.2,1.0
push,20,5,6.8,1.3266499161421599,267.8,13.775340286178052,1.0
push,50,5,15.4,3.7202150475476548,719.8,20.448960853794013,1.0
