base_port,complete,convergence_ms,coverage,data,fanout,gossip_wait,host,ihave_max_ids,mode,msg_id,overhead,peer_limit,peer_timeout,ping_interval,pow_k,pull_interval,reason,run_dir,seed_base,size,startup_wait,timestamp,topic,ttl
9000,True,4,1.0,hello,10,14.0,127.0.0.1,32,hybrid,5d5731d9-a05d-4946-8a30-059bf25b4ccc,78,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N10_seed100,100,10,8.0,1772117139046,news,18
9000,True,2,1.0,hello,10,14.0,127.0.0.1,32,hybrid,21905b34-c68e-47be-8cc5-552167a16852,78,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N10_seed101,101,10,8.0,1772117162118,news,18
9000,True,3,1.0,hello,10,14.0,127.0.0.1,32,hybrid,de8581d5-970d-4b80-b534-b6f2298584d3,57,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N10_seed102,102,10,8.0,1772117185204,news,18
9000,True,6,1.0,hello,10,14.0,127.0.0.1,32,hybrid,a7c24a78-e4fc-48dd-9aae-d7e93525e1a1,70,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N10_seed103,103,10,8.0,1772117208291,news,18
9000,True,6,1.0,hello,10,14.0,127.0.0.1,32,hybrid,b59c09ee-c97f-4d61-8420-adb323bba48c,81,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N10_seed104,104,10,8.0,1772117231395,news,18
9000,True,9,1.0,hello,10,14.0,127.0.0.1,32,hybrid,54a0731e-3336-4914-9d88-e5c4211027f8,171,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N20_seed100,100,20,8.0,1772117255674,news,18
9000,True,6,1.0,hello,10,14.0,127.0.0.1,32,hybrid,b7fe2e07-dbd8-4d44-a937-f996500ec74f,157,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N20_seed101,101,20,8.0,1772117279905,news,18
9000,True,6,1.0,hello,10,14.0,127.0.0.1,32,hybrid,2d2ca31b-0ceb-42da-8aeb-dfffcde76df6,157,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N20_seed102,102,20,8.0,1772117304179,news,18
9000,True,8,1.0,hello,10,14.0,127.0.0.1,32,hybrid,c24006b0-6051-44cc-b82f-665e41494cd5,192,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N20_seed103,103,20,8.0,1772117328446,news,18
9000,True,7,1.0,hello,10,14.0,127.0.0.1,32,hybrid,5f4a4dd8-35e9-4f64-8925-5ff626e36d42,177,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N20_seed104,104,20,8.0,1772117352690,news,18
9000,True,11,1.0,hello,10,14.0,127.0.0.1,32,hybrid,fabd9857-f521-44df-8703-60907e91c930,505,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N50_seed100,100,50,8.0,1772117380428,news,18
9000,True,15,1.0,hello,10,14.0,127.0.0.1,32,hybrid,a11fd05a-67d2-464e-b29e-870d2fd7b0e8,474,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N50_seed101,101,50,8.0,1772117408202,news,18
9000,True,15,1.0,hello,10,14.0,127.0.0.1,32,hybrid,32064178-6ecc-4dd2-aa3a-3c16797f2919,501,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N50_seed102,102,50,8.0,1772117435909,news,18
9000,True,15,1.0,hello,10,14.0,127.0.0.1,32,hybrid,63332c65-579f-4905-a509-04a019f9cbed,490,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N50_seed103,103,50,8.0,1772117463607,news,18
9000,True,7,1.0,hello,10,14.0,127.0.0.1,32,hybrid,3542da19-d4be-4534-9c9c-b8b868045981,475,50,15.0,5.0,0,2.0,,scripts/out/20260226_180900/mode_hybrid/N50_seed104,104,50,8.0,1772117491283,news,18
9000,True,5,1.0,hello,10,14.0,127.0.0.1,32,push,36da1daf-b550-403d-a329-f788beb8f783,81,50,15.0,5.0,0,0.0,,scripts/out/20260226_180900/mode_push/N10_seed100,100,10,8.0,1772116763823,news,18
9000,True,4,1.0,hello,10,14.0,127.0.0.1,32,push,7276ccd4-c600-4176-b4c5-9c60e20d30b0,65,50,15.0,5.0,0,0.0,,scripts/out/20260226_180900/mode_push/N10_seed101,101,10,8.0,1772116786902,news,18
9000,True,6,1.0,hello,10,14.0,127.0.0.1,32,push,5d4e950a-50a0-4c41-874a-d24fb7e187c8,44,50,15.0,5.0,0,0.0,,scripts/out/20260226_180900/mode_push/N10_seed102,102,10,8.0,1772116809995,news,18
9000,True,4,1.0,hello,10,14.0,127.0.0.1,32,push,116d446d-e663-4e3f-8ffc-61391e9c5d2b,76,50,15.0,5.0,0,0.0,,scripts/out/20260226_180900/mode_push/N10_seed103,103,10,8.0,1772116833084,news,18
9000,True,5,1.0,hello,10,14.0,127.0.0.1,32,push,1c2a75d6-af02-429a-9bae-a2ba7e312be0,81,50,15.0,5.0,0,0.0,,scripts/out/20260226_180900/mode_push/N10_seed104,104,10,8.0,1772116856166,news,18
9000,True,8,1.0,hello,10,14.0,127.0.0.1,32,push,7fd68edd-d158-4e95-abb7-9ec526cda569,190,50,15.0,5.0,0,0.0,,scripts/out/20260226_180900/mode_push/N20_seed100,100,20,8.0,1772116880422,news,18
