base_port,complete,convergence_ms,coverage,data,fanout,gossip_wait,host,ihave_max_ids,mode,msg_id,overhead,peer_limit,peer_timeout,ping_interval,pow_k,pull_interval,reason,run_dir,seed_base,size,startup_wait,timestamp,topic,ttl
9000,True,3,1.0,hello,5,14.0,127.0.0.1,32,hybrid,0884da86-b994-4b54-a216-ab404f047c3d,41,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N10_seed100,100,10,8.0,1772120199699,news,18
9000,True,5,1.0,hello,5,14.0,127.0.0.1,32,hybrid,997034ec-e552-4fbc-ba29-d0fb1206d618,47,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N10_seed101,101,10,8.0,1772120222783,news,18
9000,True,17,1.0,hello,5,14.0,127.0.0.1,32,hybrid,b8925010-844e-44aa-8d3a-0a53e09114a3,40,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N10_seed102,102,10,8.0,1772120245858,news,18
9000,True,5,1.0,hello,5,14.0,127.0.0.1,32,hybrid,61870db8-8e6a-4c1e-8c98-735723906010,50,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N10_seed103,103,10,8.0,1772120268942,news,18
9000,True,4,1.0,hello,5,14.0,127.0.0.1,32,hybrid,621587a6-3e56-404b-9085-84d9631876d0,44,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N10_seed104,104,10,8.0,1772120292016,news,18
9000,True,5,1.0,hello,5,14.0,127.0.0.1,32,hybrid,1dba8b86-dc8b-4347-88c1-22cb3582dc7c,100,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N20_seed100,100,20,8.0,1772120316259,news,18
9000,True,6,1.0,hello,5,14.0,127.0.0.1,32,hybrid,10a2f46c-fe66-4b1d-bb90-a58c4927ed30,115,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N20_seed101,101,20,8.0,1772120340552,news,18
9000,True,5,1.0,hello,5,14.0,127.0.0.1,32,hybrid,06659f6e-19a7-4bc9-9a88-1c496dd97154,94,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N20_seed102,102,20,8.0,1772120364811,news,18
9000,True,6,1.0,hello,5,14.0,127.0.0.1,32,hybrid,e993bea6-fd95-4406-a250-775911db3ac4,100,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N20_seed103,103,20,8.0,1772120389092,news,18
9000,True,7,1.0,hello,5,14.0,127.0.0.1,32,hybrid,aa89f881-c027-4ef0-ac11-532d000288a8,100,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N20_seed104,104,20,8.0,1772120413375,news,18
9000,True,9,1.0,hello,5,14.0,127.0.0.1,32,hybrid,886127fa-855c-4587-93fe-f32ff40700f0,245,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N50_seed100,100,50,8.0,1772120441133,news,18
9000,True,10,1.0,hello,5,14.0,127.0.0.1,32,hybrid,d9bc1a6f-551d-46c3-943f-5fcab4bba082,244,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N50_seed101,101,50,8.0,1772120468834,news,18
9000,True,9,1.0,hello,5,14.0,127.0.0.1,32,hybrid,d3837971-ba88-4f21-97b9-a341c71a53f1,218,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N50_seed102,102,50,8.0,1772120496588,news,18
9000,True,10,1.0,hello,5,14.0,127.0.0.1,32,hybrid,daff587b-21e6-46ed-a5f2-d897d3e5e681,255,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N50_seed103,103,50,8.0,1772120524344,news,18
9000,True,8,1.0,hello,5,14.0,127.0.0.1,32,hybrid,8ec6e5ec-5399-48e4-83b7-e3b32d8db46b,250,50,15.0,5.0,0,2.0,,scripts/out/20260226_190001/mode_hybrid/N50_seed104,104,50,8.0,1772120552114,news,18
9000,True,1,1.0,hello,5,14.0,127.0.0.1,32,push,9f847cdb-2081-4403-81b4-f4d1cec8bac4,45,50,15.0,5.0,0,0.0,,scripts/out/20260226_190001/mode_push/N10_seed100,100,10,8.0,1772119824307,news,18
9000,True,4,1.0,hello,5,14.0,127.0.0.1,32,push,af6366fc-91fb-4de3-9007-23cce8d70ea0,50,50,15.0,5.0,0,0.0,,scripts/out/20260226_190001/mode_push/N10_seed101,101,10,8.0,1772119847387,news,18
9000,True,5,1.0,hello,5,14.0,127.0.0.1,32,push,cd699223-ece9-4d32-8526-476584202c25,50,50,15.0,5.0,0,0.0,,scripts/out/20260226_190001/mode_push/N10_seed102,102,10,8.0,1772119870449,news,18
9000,True,3,1.0,hello,5,14.0,127.0.0.1,32,push,da8a6c24-bc7c-42c7-a556-75a29919a2e1,40,50,15.0,5.0,0,0.0,,scripts/out/20260226_190001/mode_push/N10_seed103,103,10,8.0,1772119893538,news,18
9000,True,3,1.0,hello,5,14.0,127.0.0.1,32,push,b5101a51-cec5-4165-9540-669729048d97,50,50,15.0,5.0,0,0.0,,scripts/out/20260226_190001/mode_push/N10_seed104,104,10,8.0,1772119916630,news,18
9000,True,6,1.0,hello,5,14.0,127.0.0.1,32,push,614048d6-4883-4a99-a677-f3635bcdf2b2,84,50,15.0,5.0,0,0.0,,scripts/out/20260226_190001/mode_push/N20_seed100,100,20,8.0,1772119940886,news,18
9000,True,6,1.0,hello,5,14.0,127.0.0.1,32,push,c2974c69-0dd3-4fc6-b32d-afcf292bb6ea,100,50,15.0,5.0,0,0.0,,scripts/out/20260226_190001/mode_push/N20_seed101,101,20,8.0,1772119965139,news,18
9000,True,5,1.0,hello,5,14.0,127.0.0.1,32,push,9b3fcef2-453e-4890-900e-517f913e3a55,95,50,15.0,5.0,0,0.0,,scripts/out/20260226_190001/mode_push/N20_seed102,102,20,8.0,1772119989411,news,18
